open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,1_day_return,7_day_return,7_day_volatility,rsi,macd,sma20,sma50,sma200,bb_high,bb_low,stochastic_oscillator,future_return,label,label_name
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,2023-09-12 23:59:59.999,1464393036.9616623,1047056,27720.5183,719147319.9787064,0.0269281455116576,0.0018610349680716,0.0180881465069737,42.780294996086766,-512.1119190714453,26068.5745,27576.789,27630.3612,27129.52259200941,25007.62640799059,32.74898258804488,0.01477935456906132,1,HOLD
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,2023-09-13 23:59:59.999,825437881.4687591,714880,15287.00038,399099781.6207648,0.0147793545690613,0.0179367584176211,0.0188426370912736,47.50316316579777,-448.6820324463006,26070.672,27516.6508,27645.68585,27132.658711453303,25008.68528854669,49.171601817972046,0.011468614140797806,1,HOLD
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,2023-09-14 23:59:59.999,1015267319.7730228,799278,19440.45467,514863794.3783894,0.0114686141407978,0.0101972957531899,0.0179149155734482,50.93734313428899,-369.8832092220873,26093.808,27460.0662,27660.52525,27173.865048837422,25013.75095116257,82.76286176505101,0.0029133501717206745,1,HOLD
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,2023-09-15 23:59:59.999,695203258.0004445,654094,12600.39115,334045930.7667212,0.0029133501717206,0.0266108334459003,0.0167049219073833,51.80964910387773,-297.7670575880511,26122.9395,27407.6106,27676.0648,27224.395884147103,25021.483115852898,85.50578761952693,-0.001516165413533943,1,HOLD
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,2023-09-16 23:59:59.999,370889866.4592735,526416,6508.91352,172926781.3888423,-0.0015161654135339,0.0254061427069589,0.0167601256888715,51.29700988797688,-241.0896503808908,26145.8345,27352.5212,27693.1553,27263.49568231708,25028.17331768292,83.4760946149974,-0.0012108584180451354,1,HOLD
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,2023-09-17 23:59:59.999,344703727.5601071,476775,6359.89459,168675580.016463,-0.0012108584180451,0.0265424638789919,0.0166989540968574,50.86480363225595,-196.502284046157,26166.21,27296.0134,27707.648,27296.036370571783,25036.38362942821,81.85757423251124,0.00885872816559119,1,HOLD
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,2023-09-18 23:59:59.999,1158780347.6253047,938705,21551.71605,580912488.7594309,0.0088587281655911,0.0635862385802374,0.0101056532938918,53.92005835299782,-140.58338125915907,26118.5185,27245.6418,27724.13395,27044.771081950737,25192.26591804926,74.22288676236037,0.016730493514995448,1,HOLD
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,2023-09-19 23:59:59.999,981539255.55962,898076,17851.15558,484061308.12493294,0.0167304935149954,0.053024562598442,0.0074605883361801,59.13403308815434,-59.4522365541452,26114.032,27205.202,27748.41355,27017.950276363197,25210.113723636805,89.41713099741725,-0.0031333768953327734,1,HOLD
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,2023-09-20 23:59:59.999,927206075.9626272,867288,16983.43086,460402346.17078334,-0.0031333768953327,0.0344367325146823,0.0075912819923884,57.79303873451369,-2.0117985481701908,26173.243,27153.5822,27772.3057,27173.968980757672,25172.517019242325,86.11576840124373,-0.020531612903225693,0,SELL
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,2023-09-21 23:59:59.999,920768143.3513128,823416,16878.78202,450738363.8506985,-0.0205316129032256,0.0017098541515145,0.0115568727833096,49.84210720090433,-1.4123465657321503,26211.3945,27101.2236,27792.9949,27211.242675983944,25211.54632401606,64.55120287155825,0.00045392817245337724,1,HOLD
